"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.44399193410317e-160,0.98545039873537,0.326,0.174,3.61777739170208e-156,"11","Trafd1"
1.48332982429912e-159,0.54068317629536,0.791,0.68,3.71633454179902e-155,"11","Eif4a1"
3.85433051129195e-159,1.05141437813891,0.277,0.137,9.65663966299085e-155,"11","Vamp3"
1.34771609129265e-158,0.905956390484464,0.362,0.202,3.3765678951246e-154,"11","Nup98"
7.22045641071582e-158,0.9390993144111,0.334,0.181,1.80901314914074e-153,"11","Psmg4"
3.93942028385773e-157,0.904002570049073,0.417,0.253,9.86982357917715e-153,"11","Rnaseh2c"
8.99880396472123e-157,0.539265062037355,0.807,0.712,2.25456034532126e-152,"11","Tpr"
3.31995301967069e-156,0.633953993316815,0.451,0.267,8.31781029548295e-152,"11","Coq10b"
5.13365364333835e-155,0.713163783814314,0.555,0.38,1.28618558380199e-150,"11","Bax"
3.41445669723693e-154,0.576375583744114,0.732,0.591,8.55457980925741e-150,"11","Snrpb"
1.35614408605243e-153,0.959466743179945,0.361,0.206,3.39768339319576e-149,"11","Rnpep"
2.15404376879842e-152,0.523364597855075,0.763,0.633,5.39674125834756e-148,"11","Eif3h"
1.06814478211081e-151,0.813774998125658,0.373,0.208,2.67612993710043e-147,"11","Irf1"
3.8429780355684e-151,0.442943930331725,0.86,0.776,9.62819717031307e-147,"11","Hnrnpf"
1.84994693111283e-150,0.610215463159091,0.498,0.314,4.6348570412101e-146,"11","Nme1"
2.34920710496155e-150,0.964115288664324,0.319,0.173,5.88570348077067e-146,"11","Rassf1"
2.73383260736241e-149,0.501980786839388,0.786,0.676,6.84934421448577e-145,"11","Tma7"
3.05838940030104e-149,0.653596542127842,0.552,0.375,7.66248880351424e-145,"11","Nop53"
1.48694434843905e-148,0.613049520565916,0.673,0.526,3.7253903705792e-144,"11","Hnrnpd"
5.03751789407226e-147,0.997675984108617,0.323,0.178,1.26209973318086e-142,"11","Synj1"
3.42323651012482e-146,1.05178917987855,0.263,0.132,8.57657675246672e-142,"11","St3gal4"
1.7617553360027e-145,0.657656044124124,0.607,0.446,4.41390181882116e-141,"11","Psmd8"
2.45819376550798e-145,0.750313609081697,0.473,0.304,6.15875866010369e-141,"11","Mkrn1"
5.48239768492722e-145,0.701923341243306,0.508,0.335,1.37355991598167e-140,"11","Stx7"
8.80352040179413e-145,0.552533342322464,0.724,0.568,2.2056340014655e-140,"11","Tmem50a"
3.3265866018656e-144,0.394491820090374,0.466,0.264,8.33443007231408e-140,"11","Runx1"
2.21137791946375e-143,0.886335091686958,0.377,0.224,5.54038623942447e-139,"11","Sde2"
